seed,p_2Q(%),Degree,Sample Variance
137.0,0.009726468460611966,2,5003426.673697675
138.0,0.009726468460611966,2,5075314.930752834
139.0,0.009726468460611966,2,5077631.39846211
140.0,0.009726468460611966,2,0.36768665193742706
280.0,0.009726468460611966,3,4751820.114523322
281.0,0.009726468460611966,3,4851900.487280038
282.0,0.009726468460611966,3,4963226.437302791
283.0,0.009726468460611966,3,4746860.890878306
284.0,0.009726468460611966,3,4852802.339364251
285.0,0.009726468460611966,3,4645686.124141699
286.0,0.009726468460611966,3,4788170.012963038
287.0,0.009726468460611966,3,4671834.208756673
288.0,0.009726468460611966,3,4732876.269761093
289.0,0.009726468460611966,3,4762292.9056371525
290.0,0.009726468460611966,3,0.9209815453049308
430.0,0.009726468460611966,4,4378340.161510607
431.0,0.009726468460611966,4,4246937.69726858
