Unnamed: 0,kernel,molecule,backend,expect,expect_ideal,expect_sq,expect_sq_ideal,fidelity,depth,n_2qubit,Kernel,std,std_ideal,bias,bias_rel,Molecule,Groups
58,qwc,BeH2,ibmq_torino,3.935835208117201e-06,3.9398378427602745e-06,7.325131803859705e-05,7.325131803859705e-05,-1.0,4,0,QWC,0.008558697479628443,0.00855869747778684,-4.002634643073669e-09,0.0010159389301843446,$\mathrm{BeH_2}$,1
59,qwc,BeH2,ibmq_torino,-3.6514596228784125e-07,-3.660958144811424e-07,6.064744679634739e-05,6.064744679634739e-05,-1.0,4,0,QWC,0.007787647055626996,0.0077876470555824015,9.498521933011352e-10,9.498521933011352e-10,$\mathrm{BeH_2}$,1
60,qwc,BeH2,ibmq_torino,8.443277742425498e-06,8.465241195024713e-06,7.524097449690437e-05,7.524097449690437e-05,-1.0,4,0,QWC,0.008674151440225455,0.008674151418818781,-2.1963452599215613e-08,0.0025945453996188816,$\mathrm{BeH_2}$,1
61,qwc,BeH2,ibmq_torino,-4.329461535145494e-05,-4.340723739943918e-05,7.712723962664143e-05,7.712723962664143e-05,-1.0,3,0,QWC,0.008782104827598166,0.008782104271664211,1.1262204798423664e-07,0.0025945453968395536,$\mathrm{BeH_2}$,1
62,qwc,BeH2,ibmq_torino,-3.651459622879243e-07,-3.660958144812038e-07,6.064744679634728e-05,6.064744679634728e-05,-1.0,4,0,QWC,0.007787647055626989,0.0077876470555823946,9.498521932794829e-10,9.498521932794829e-10,$\mathrm{BeH_2}$,1
63,qwc,BeH2,ibmq_torino,-3.442268856315386e-05,-3.45122321161248e-05,7.676557184263836e-05,7.676557184263836e-05,-1.0,4,0,QWC,0.008761528800452034,0.008761528448191716,8.954355297094218e-08,0.0025945453968219474,$\mathrm{BeH_2}$,1
64,qwc,BeH2,ibmq_torino,-3.820443307721396e-06,-3.830381406177739e-06,4.0452904975875716e-05,4.0452904975875716e-05,-1.0,4,0,QWC,0.006360258672419594,0.00636025866644227,9.938098456342843e-09,0.0025945453996603102,$\mathrm{BeH_2}$,1
65,qwc,BeH2,ibmq_torino,-3.820443307720808e-06,-3.8303814061775714e-06,4.045290497587573e-05,4.045290497587573e-05,-1.0,4,0,QWC,0.0063602586724195945,0.006360258666442271,9.938098456763818e-09,0.002594545399770328,$\mathrm{BeH_2}$,1
66,qwc,BeH2,ibmq_torino,-7.67298491304562e-07,-7.692944607196014e-07,3.745240048575741e-05,3.745240048575741e-05,-1.0,4,0,QWC,0.006119836590711425,0.006119836590460847,1.995969415039401e-09,1.995969415039401e-09,$\mathrm{BeH_2}$,1
67,qwc,BeH2,ibmq_torino,-7.672984913046247e-07,-7.692944607196673e-07,3.745240048575736e-05,3.745240048575736e-05,-1.0,4,0,QWC,0.006119836590711421,0.0061198365904608434,1.9959694150425775e-09,1.9959694150425775e-09,$\mathrm{BeH_2}$,1
